date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2014-09-07,7.749800,6.130500,-0.050200,strong_side
2014-09-08,7.750200,6.130500,-0.049800,inside
2014-09-09,7.749880,6.126500,-0.050120,strong_side
2014-09-10,7.750000,6.119400,-0.050000,inside
2014-09-11,7.749830,6.120000,-0.050170,strong_side
2014-09-14,7.750160,6.124700,-0.049840,inside
2014-09-15,7.750650,6.132000,-0.049350,inside
2014-09-16,7.750600,6.136100,-0.049400,inside
2014-09-17,7.750650,6.129000,-0.049350,inside
2014-09-18,7.750860,6.130500,-0.049140,inside
2014-09-21,7.750760,6.131100,-0.049240,inside
2014-09-22,7.751410,6.130500,-0.048590,inside
2014-09-23,7.751310,6.127800,-0.048690,inside
2014-09-24,7.751660,6.126600,-0.048340,inside
2014-09-25,7.753620,6.126000,-0.046380,inside
2014-09-28,7.762170,6.117100,-0.037830,inside
2014-09-29,7.765410,6.140000,-0.034590,inside
2014-09-30,7.764250,6.128500,-0.035750,inside
2014-10-01,7.763360,6.128500,-0.036640,inside
2014-10-02,7.762470,6.128500,-0.037530,inside
2014-10-05,7.758140,6.129000,-0.041860,inside
2014-10-06,7.754510,6.129000,-0.045490,inside
2014-10-07,7.754800,6.129000,-0.045200,inside
2014-10-08,7.755640,6.129000,-0.044360,inside
2014-10-09,7.755820,6.120200,-0.044180,inside
2014-10-12,7.756250,6.121100,-0.043750,inside
2014-10-13,7.758330,6.115500,-0.041670,inside
2014-10-14,7.756170,6.115500,-0.043830,inside
2014-10-15,7.756830,6.115900,-0.043170,inside
2014-10-16,7.757160,6.113300,-0.042840,inside
2014-10-19,7.756900,6.114000,-0.043100,inside
2014-10-20,7.757750,6.113600,-0.042250,inside
2014-10-21,7.755220,6.111000,-0.044780,inside
2014-10-22,7.755970,6.108300,-0.044030,inside
2014-10-23,7.756770,6.109500,-0.043230,inside
2014-10-27,7.756830,6.107100,-0.043170,inside
2014-10-28,7.756870,6.106500,-0.043130,inside
2014-10-29,7.756790,6.103300,-0.043210,inside
2014-10-30,7.753900,6.101200,-0.046100,inside
2014-10-31,7.755160,6.104500,-0.044840,inside
2014-11-03,7.754420,6.102700,-0.045580,inside
